Features,Group,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Communalities,Uniqueness
BERT_Valley,semantics,1.025717674479426,,,,,,,,,,,,,,,1.0786427492259645,-0.07864274922596448
FT_cuml_Kurt,semantics,-0.8239725769411352,,,0.45223573234778863,,,,,,,,,,,,0.9824886313385172,0.01751136866148284
loudness_sma3_meanFallingSlope,acoustics,,,,,0.9131031171129487,,,,,,,,,,,0.9169155543173338,0.08308444568266615
FT_ApEn,semantics,0.3973144271874607,,,0.5082253619168049,,0.35475997782494617,,,,,,,,,,0.5783506517316802,0.4216493482683198
Sent_Kurt,semantics,-0.4532441925772241,,,,,,,,-0.4197136842957313,,,,,,,0.5045740326980522,0.49542596730194777
NUM_PosR,morphsyn,,,,0.4508617888818291,,,,,,,,,,,,0.262326188567593,0.7376738114324071
VERB_PosR,morphsyn,0.9817561459093783,,,,,,,,,,,,,,,1.0070303465720984,-0.007030346572098445
fixed_DepR,morphsyn,0.5181161569783465,,,,,,,,,,,,,,,0.3505810561787021,0.6494189438212978
Sent_cuml_SSC,semantics,0.41008405279696625,,,,,,,,0.3773967940115174,,,,,,,0.3983776923260254,0.6016223076739746
PUNCT_PosR,morphsyn,0.7907955289864763,,,,,,,,,,,,,,,0.7312395146261984,0.2687604853738016
Sent_MeanK2,semantics,0.4262224380575058,,,,,,,,0.5403870609215684,,,,,,,0.5654896065543551,0.4345103934456449
ccomp_DepR,morphsyn,0.5118048606081042,,,,,,,,,,,,0.38365234028113315,,,0.5739045404202696,0.4260954595797304
BERT_stat_Acf1,semantics,0.7714136808847554,,,,,,,,,,,,,,,0.7370821718349725,0.2629178281650275
Sent_cuml_AcfZcr,semantics,0.36002348238720505,,,,,,,,0.46118656502714167,,,,,,,0.4686964132082592,0.5313035867917408
Falls,acoustics,,,,,,,,,,,,,,0.806738654427685,,0.7502063807213855,0.24979361927861454
Cnd_MoodR,morphsyn,,,,,,,,,,,,,,,,0.11431039704182948,0.8856896029581706
Sent_cuml_Valley,semantics,0.32868925379807995,,,,,,,,0.7726552929494335,,,,,,,0.818910019992871,0.18108998000712895
advmod_DepR,morphsyn,0.8317981091712404,,,,,,,,,,,,,,,0.7305406377098361,0.2694593622901639
slopeUV0_500_sma3nz_amean,acoustics,,,,,,,,,,,-0.45073247612512035,,,,,0.44829170749319347,0.5517082925068065
VoicedSegmentsPerSec,acoustics,,,-0.3815009254666627,,,,,-0.41984759766260926,,,0.31372720226576295,,,,,0.5061447455137306,0.49385525448626943
mfcc1V_sma3nz_stddevNorm,acoustics,,,,,,,-0.744583410788625,,,,,,,,,0.6645063830223126,0.3354936169776874
ADD,morphsyn,0.9203965823606267,,,,,,,,,,,,,,,0.9406155975877589,0.05938440241224108
F2bandwidth_sma3nz_stddevNorm,acoustics,,0.4296289708020728,,,,,-0.4581520640512875,,,,,,,,-0.3020074244120243,0.6196997929597438,0.38030020704025624
slopeV0_500_sma3nz_amean,acoustics,,0.7880794441727041,,,,,,,,,-0.4796432106144565,,,,,0.9247017602501972,0.07529823974980276
SpeechRate,acoustics,,,,,,,,-0.884626160002861,,,,,,,,0.9278707045800179,0.07212929541998214
BERT_Amp,semantics,0.8544781607055282,,,,,,,,,,,,,,,0.7840376691942649,0.21596233080573513
BERT_cuml_MCR,semantics,0.9690953099893216,,,,,,,,,,,,,,,0.9535486455323489,0.04645135446765114
