Feat,Z,p,CI_lower,CI_upper,Group,q,Z_abs,Feature,Importance,Feature domain
SpeechRate,-6.308524429729269,2.817082709839103e-10,-8.268488414269322,-4.348560445189215,acoustics,7.549781662368796e-08,6.308524429729269,SpeechRate,0.003121830723279646,acoustics
NrofSafe,-1.6848387096867072,0.09201969421673872,-3.644802694226761,0.2751252748533468,acoustics,0.2971238319287467,1.6848387096867072,NrofSafe,0.003602692161427001,acoustics
SpeechTime,0.364401905698052,0.7155579126215413,-1.595562078842002,2.3243658902381057,acoustics,0.9359124759184778,0.364401905698052,SpeechTime,0.0023628429455817934,acoustics
TotInternuclDur,-0.960633211879437,0.3367366234256721,-2.9205971964194912,0.999330772660617,acoustics,0.6446101077005724,0.960633211879437,TotInternuclDur,0.008029327523008969,acoustics
TotPauseDur,1.1393742987081683,0.25454707100769947,-0.8205896858318856,3.099338283248222,acoustics,0.5531604225374056,1.1393742987081683,TotPauseDur,0.005260759274283337,acoustics
PropPause,1.5054704589935624,0.13220316620031042,-0.45449352554649164,3.4654344435336166,acoustics,0.3688388862217706,1.5054704589935624,PropPause,0.009573604183934806,acoustics
F0MedianInST,-0.06875045630593954,0.9451882548590114,-2.028714440845994,1.8912135282341145,acoustics,0.9823072448314908,0.06875045630593954,F0MedianInST,0.0,acoustics
PitchMeanST,-0.328311325442389,0.7426762818824006,-2.288275309982443,1.631652659097665,acoustics,0.9359124759184778,0.328311325442389,PitchMeanST,0.0011620610788268236,acoustics
PitchStdevST,-2.733450963029238,0.00626744551130101,-4.693414947569291,-0.773486978489184,acoustics,0.052489856157145964,2.733450963029238,PitchStdevST,0.006127137908691007,acoustics
PitchRange,-2.3220406790671464,0.020230745341684054,-4.282004663607201,-0.36207669452709246,acoustics,0.09036399585952211,2.3220406790671464,PitchRange,0.003723269377774605,acoustics
PitchTopST,-2.323213662230583,0.020167677190438757,-4.283177646770636,-0.36324967769052874,acoustics,0.09036399585952211,2.323213662230583,PitchTopST,0.0,acoustics
PitchBottomST,-0.04002377558221368,0.9680741713034483,-1.9999877601222675,1.9199402089578401,acoustics,0.9827302713025258,0.04002377558221368,PitchBottomST,0.0045897254464325596,acoustics
RawF0_p25,0.6905326207997137,0.48985930322333704,-1.2694313637403403,2.6504966053397676,acoustics,0.8231063838908905,0.6905326207997137,RawF0_p25,0.000707756095392817,acoustics
RawF0_p50,0.5734185202880666,0.5663613534139116,-1.3865454642519874,2.5333825048281207,acoustics,0.8412756970535387,0.5734185202880666,RawF0_p50,0.002452699655276984,acoustics
RawF0_p75,0.26349922142032456,0.7921658235700049,-1.6964647631197296,2.2234632059603787,acoustics,0.9359124759184778,0.26349922142032456,RawF0_p75,0.011471617663407884,acoustics
PropLevel,-3.294102548739818,0.0009873646925404062,-5.254066533279873,-1.334138564199764,acoustics,0.0159543435294158,3.294102548739818,PropLevel,0.020224679244716496,acoustics
Gliss,-2.488120881550334,0.012842007521190479,-4.4480848660903884,-0.5281568970102799,acoustics,0.07322676629104358,2.488120881550334,Gliss,0.00672502249563975,acoustics
Rises,-2.4166461423121173,0.01566423676373994,-4.376610126852171,-0.456682157772063,acoustics,0.0792078387298548,2.4166461423121173,Rises,0.006024645131552027,acoustics
Falls,-1.5412359179698452,0.12325937873948054,-3.501199902509899,0.4187280665702089,acoustics,0.35905992937153025,1.5412359179698452,Falls,0.0004384844750863526,acoustics
TrajIntra,-2.5947112472381972,0.009467041658817926,-4.554675231778251,-0.6347472626981431,acoustics,0.06342917911408011,2.5947112472381972,TrajIntra,0.0008835852623863044,acoustics
TrajInter,-3.7425712689877653,0.0001821468493427481,-5.702535253527819,-1.7826072844477114,acoustics,0.0054239284026507215,3.7425712689877653,TrajInter,0.005943464657931104,acoustics
TrajPhon,-4.170238346938942,3.0428123227864162e-05,-6.130202331478997,-2.210274362398888,acoustics,0.0016309474050135192,4.170238346938942,TrajPhon,0.0,acoustics
TrajIntraZ,-0.7600107568239913,0.4472481550657519,-2.7199747413640454,1.1999532277160627,acoustics,0.7969592445958701,0.7600107568239913,TrajIntraZ,0.024425431418384012,acoustics
TrajPhonZ,-3.171368554842499,0.0015172251463189904,-5.131332539382553,-1.2114045703024445,acoustics,0.020482976734995863,3.171368554842499,TrajPhonZ,0.0007058250945995908,acoustics
NuclDurMean,5.214773471474758,1.8404200307465374e-07,3.254809486934704,7.174737456014813,acoustics,1.64410856080024e-05,5.214773471474758,NuclDurMean,0.0,acoustics
NuclDurStdev,3.7714348738569057,0.00016231152231184807,1.8114708893168514,5.731398858396959,acoustics,0.0054239284026507215,3.7714348738569057,NuclDurStdev,0.0010882936072409278,acoustics
nPVI_nucldur,3.601369107353984,0.00031654578433354375,1.64140512281393,5.561333091894038,acoustics,0.00771220638194452,3.601369107353984,nPVI_nucldur,0.004092620410289385,acoustics
NuclDurMedian,5.286408891229328,1.247408993486353e-07,3.326444906689274,7.246372875769383,acoustics,1.64410856080024e-05,5.286408891229328,NuclDurMedian,0.0034155928865650443,acoustics
F0semitoneFrom27_5Hz_sma3nz_amean,0.1589682229739623,0.873693909817782,-1.8009957615660916,2.1189322075140162,acoustics,0.9666098965813783,0.1589682229739623,F0semitoneFrom27_5Hz_sma3nz_amean,0.0015646750674155265,acoustics
F0semitoneFrom27_5Hz_sma3nz_stddevNorm,-2.1037453326253774,0.03540066776644653,-4.063709317165432,-0.14378134808532345,acoustics,0.14595967632934875,2.1037453326253774,F0semitoneFrom27_5Hz_sma3nz_stddevNorm,0.007343606500585531,acoustics
F0semitoneFrom27_5Hz_sma3nz_percentile20_0,0.6993367757962036,0.4843415893083275,-1.2606272087438506,2.6593007603362575,acoustics,0.8215414299660238,0.6993367757962036,F0semitoneFrom27_5Hz_sma3nz_percentile20_0,0.004706888999549593,acoustics
F0semitoneFrom27_5Hz_sma3nz_percentile50_0,0.21344296998873669,0.8309814674096803,-1.746521014551317,2.1734069545287906,acoustics,0.9396752458472333,0.21344296998873669,F0semitoneFrom27_5Hz_sma3nz_percentile50_0,0.0031712450368079643,acoustics
F0semitoneFrom27_5Hz_sma3nz_percentile80_0,-0.2944093216926401,0.7684451447140407,-2.2543733062326945,1.6655546628474138,acoustics,0.9359124759184778,0.2944093216926401,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,0.0027720328035992373,acoustics
F0semitoneFrom27_5Hz_sma3nz_pctlrange0_2,-1.5230917038101452,0.1277357641387595,-3.483055688350199,0.4368722807299087,acoustics,0.36125656270273554,1.5230917038101452,F0semitoneFrom27_5Hz_sma3nz_pctlrange0_2,0.00631756947908767,acoustics
F0semitoneFrom27_5Hz_sma3nz_meanRisingSlope,-1.3212241496004329,0.18642663629933365,-3.281188134140487,0.6387398349396214,acoustics,0.45430373179321054,1.3212241496004329,F0semitoneFrom27_5Hz_sma3nz_meanRisingSlope,0.01936430269709162,acoustics
F0semitoneFrom27_5Hz_sma3nz_stddevRisingSlope,0.05276134863138068,0.9579220579063671,-1.9072026359086733,2.012725333171435,acoustics,0.9827302713025258,0.05276134863138068,F0semitoneFrom27_5Hz_sma3nz_stddevRisingSlope,0.0049201488715445475,acoustics
F0semitoneFrom27_5Hz_sma3nz_meanFallingSlope,-3.2871610850203314,0.0010120292537315991,-5.2471250695603855,-1.3271971004802772,acoustics,0.0159543435294158,3.2871610850203314,F0semitoneFrom27_5Hz_sma3nz_meanFallingSlope,0.007610449633704838,acoustics
