Feat,Z,p,CI_lower,CI_upper,q,Set,Z_abs,Feature_x,Importance_x,Group_x,Feature_y,Importance_y,Group_y
SentNum,-0.00029456440904374477,0.9997649716092608,-1.9602585489490978,1.9596694201310103,0.9997649716092608,morphsyn,0.00029456440904374477,SentNum,0.0019557576836157597,morphsyn,SentNum,0.0019557576836157597,morphsyn
mfcc2V_sma3nz_amean,0.005199840548431918,0.9958511462041324,-1.9547641439916223,1.965163825088486,0.9995949475056517,acoustic,0.005199840548431918,mfcc2V_sma3nz_amean,0.0,acoustics,mfcc2V_sma3nz_amean,0.0,acoustics
Sent_cuml_Peak,0.02124834245166976,0.9830475512740828,-1.938715642088384,1.9812123269917237,0.9830475512740828,semantic,0.02124834245166976,Sent_cuml_Peak,0.0013890334503672192,semantics,Sent_cuml_Peak,0.0013890334503672192,semantics
mfcc1_sma3_amean,-0.04183396192169031,0.9666310610034167,-2.0017979464617444,1.918130022618364,0.9776155048784555,acoustic,0.04183396192169031,mfcc1_sma3_amean,0.001177092337542554,acoustics,mfcc1_sma3_amean,0.001177092337542554,acoustics
Sent_cuml_Amp,0.05062436165946356,0.9596248499149044,-1.9093396228805903,2.0105883461995178,0.9694169402201585,semantic,0.05062436165946356,Sent_cuml_Amp,0.0,semantics,Sent_cuml_Amp,0.0,semantics
FT_stat_Acf1,-0.056538082890948985,0.9549131582694108,-2.016502067431003,1.903425901649105,0.9694169402201585,semantic,0.056538082890948985,FT_stat_Acf1,0.006735760305461562,semantics,FT_stat_Acf1,0.006735760305461562,semantics
BERT_cuml_Var,-0.058595753099384015,0.9532740934084158,-2.0185597376394377,1.9013682314406701,0.9694169402201585,semantic,0.058595753099384015,BERT_cuml_Var,0.009567732413318094,semantics,BERT_cuml_Var,0.009567732413318094,semantics
F1bandwidth_sma3nz_stddevNorm,0.07029154998202175,0.9439616080101297,-1.8896724345580325,2.030255534522076,0.9693759589950178,acoustic,0.07029154998202175,F1bandwidth_sma3nz_stddevNorm,0.004553916737611483,acoustics,F1bandwidth_sma3nz_stddevNorm,0.004553916737611483,acoustics
BERT_cuml_AcfZcr,0.07137579193988314,0.9430986756938464,-1.8885881926001709,2.0313397764799372,0.9694169402201585,semantic,0.07137579193988314,BERT_cuml_AcfZcr,0.0012006899854037291,semantics,BERT_cuml_AcfZcr,0.0012006899854037291,semantics
FT_MeanK1,-0.07962879570447252,0.9365324922698995,-2.0395927802445266,1.8803351888355813,0.9694169402201585,semantic,0.07962879570447252,FT_MeanK1,0.00709264800876261,semantics,FT_MeanK1,0.00709264800876261,semantics
F0MedianInST,0.08227619930471923,0.9344270804434317,-1.8776877852353349,2.0422401838447732,0.9692022303723379,acoustic,0.08227619930471923,F0MedianInST,0.0,acoustics,F0MedianInST,0.0,acoustics
mfcc4V_sma3nz_stddevNorm,-0.08665257297800144,0.9309476758275788,-2.0466165575180555,1.8733114115620526,0.9692022303723379,acoustic,0.08665257297800144,mfcc4V_sma3nz_stddevNorm,0.0006314334407026333,acoustics,mfcc4V_sma3nz_stddevNorm,0.0006314334407026333,acoustics
logRelF0_H1_H2_sma3nz_stddevNorm,0.08670472412390891,0.9309062212543094,-1.8732592604161453,2.046668708663963,0.9692022303723379,acoustic,0.08670472412390891,logRelF0_H1_H2_sma3nz_stddevNorm,0.0009037302221434806,acoustics,logRelF0_H1_H2_sma3nz_stddevNorm,0.0009037302221434806,acoustics
F0semitoneFrom27_5Hz_sma3nz_amean,-0.09023039181875957,0.9281041336443107,-2.0501943763588137,1.8697335927212944,0.9692022303723379,acoustic,0.09023039181875957,F0semitoneFrom27_5Hz_sma3nz_amean,0.0015646750674155265,acoustics,F0semitoneFrom27_5Hz_sma3nz_amean,0.0015646750674155265,acoustics
BERT_Peak,0.09199237004745422,0.9267041017071438,-1.8679716144926,2.0519563545875084,0.9694169402201585,semantic,0.09199237004745422,BERT_Peak,0.0,semantics,BERT_Peak,0.0,semantics
Sent_stat_Amp,-0.09269947053111978,0.9261423176563319,-2.052663455071174,1.8672645140089343,0.9694169402201585,semantic,0.09269947053111978,Sent_stat_Amp,0.005278354198906304,semantics,Sent_stat_Amp,0.005278354198906304,semantics
BERT_stat_Acf1,-0.09544475388104931,0.9239615698495465,-2.0554087384211033,1.8645192306590046,0.9694169402201585,semantic,0.09544475388104931,BERT_stat_Acf1,0.0,semantics,BERT_stat_Acf1,0.0,semantics
BERT_stat_Peak,0.09647642645160016,0.9231421955455512,-1.863487558088454,2.0564404109916543,0.9694169402201585,semantic,0.09647642645160016,BERT_stat_Peak,0.0014307975191571798,semantics,BERT_stat_Peak,0.0014307975191571798,semantics
BERT_cuml_Acf1,0.10299627604228526,0.9179659265238762,-1.8569677084977687,2.062960260582339,0.9694169402201585,semantic,0.10299627604228526,BERT_cuml_Acf1,0.01034440080269749,semantics,BERT_cuml_Acf1,0.01034440080269749,semantics
CCONJ_PosR,-0.10927702892546533,0.9129827657320155,-2.0692410134655193,1.8506869556145888,0.9277082942115642,morphsyn,0.10927702892546533,CCONJ_PosR,0.0010337560068522647,morphsyn,CCONJ_PosR,0.0010337560068522647,morphsyn
BERT_cuml_MCR,0.12043728811559873,0.904136754719488,-1.8395266964244554,2.080401272655653,0.9694169402201585,semantic,0.12043728811559873,BERT_cuml_MCR,0.0008712967782069354,semantics,BERT_cuml_MCR,0.0008712967782069354,semantics
Sent_stat_WL,-0.12165940466511424,0.9031687647296252,-2.081623389205168,1.8383045798749398,0.9694169402201585,semantic,0.12165940466511424,Sent_stat_WL,0.002848606167789875,semantics,Sent_stat_WL,0.002848606167789875,semantics
mfcc1V_sma3nz_amean,0.13085310036040185,0.8958915160680857,-1.8291108841796522,2.090817084900456,0.9692022303723379,acoustic,0.13085310036040185,mfcc1V_sma3nz_amean,0.0,acoustics,mfcc1V_sma3nz_amean,0.0,acoustics
FT_WL,-0.13704897918628833,0.890992080533172,-2.0970129637263426,1.8229150053537657,0.9694169402201585,semantic,0.13704897918628833,FT_WL,0.006100571221938257,semantics,FT_WL,0.006100571221938257,semantics
BERT_MeanK2,-0.14750218522445027,0.8827356550367725,-2.1074661697645043,1.8124617993156038,0.9694169402201585,semantic,0.14750218522445027,BERT_MeanK2,0.005140121931455555,semantics,BERT_MeanK2,0.005140121931455555,semantics
F0semitoneFrom27_5Hz_sma3nz_percentile80_0,-0.1510386996098398,0.8799451881897101,-2.1110026841498937,1.8089252849302142,0.9692022303723379,acoustic,0.1510386996098398,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,0.0027720328035992373,acoustics,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,0.0027720328035992373,acoustics
advcl_DepR,0.16551726764749047,0.8685368596621916,-1.7944467168925635,2.125481252187545,0.8970134780117717,morphsyn,0.16551726764749047,advcl_DepR,0.0036428347968801285,morphsyn,advcl_DepR,0.0036428347968801285,morphsyn
FT_cuml_MCR,-0.16791254707436848,0.8666520791409579,-2.1278765316144224,1.7920514374656855,0.9694169402201585,semantic,0.16791254707436848,FT_cuml_MCR,0.0025123761494442263,semantics,FT_cuml_MCR,0.0025123761494442263,semantics
Sent_cuml_ApEn,-0.17003894280092685,0.8649795106516924,-2.1300029273409806,1.789925041739127,0.9694169402201585,semantic,0.17003894280092685,Sent_cuml_ApEn,0.005894953669643181,semantics,Sent_cuml_ApEn,0.005894953669643181,semantics
FT_AcfZcr,-0.17637057752210464,0.8600028180449771,-2.1363345620621588,1.7835934070179493,0.9694169402201585,semantic,0.17637057752210464,FT_AcfZcr,0.0,semantics,FT_AcfZcr,0.0,semantics
parataxis_DepR,-0.18159984811668506,0.8558967680526571,-2.1415638326567388,1.778364136423369,0.8970134780117717,morphsyn,0.18159984811668506,parataxis_DepR,0.008572360986307299,morphsyn,parataxis_DepR,0.008572360986307299,morphsyn
FT_cuml_SSC,0.18191924840638687,0.8556460985073002,-1.7780447361336675,2.141883232946441,0.9694169402201585,semantic,0.18191924840638687,FT_cuml_SSC,0.0008950552929483466,semantics,FT_cuml_SSC,0.0008950552929483466,semantics
