X,Y,method,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,power,q
PANSS_ItemP1,SpeechRate,spearman,two-sided,48,-0.185810669465718,[-0.45  0.1 ],0.20607020892560313,0.34345034820933856,fdr_bh,0.24620264287952925,0.34345034820933856
PANSS_ItemP2,SpeechRate,spearman,two-sided,48,-0.14588989005644665,[-0.41  0.14],0.32245856322827804,0.4030732040353475,fdr_bh,0.16839916362843738,0.4030732040353475
PANSS_ItemP3,SpeechRate,spearman,two-sided,48,-0.15461513563176782,[-0.42  0.14],0.29404259755491563,0.4030732040353475,fdr_bh,0.18369178740994355,0.4030732040353475
PANSS_ItemN1,SpeechRate,spearman,two-sided,48,-0.3979046580033231,[-0.61 -0.13],0.0050980652311559144,0.02549032615577957,fdr_bh,0.8134911874761003,0.02549032615577957
PANSS_ItemN4,SpeechRate,spearman,two-sided,48,-0.20227822911927648,[-0.46  0.09],0.16796124393880138,0.33592248787760276,fdr_bh,0.28391270327927287,0.33592248787760276
PANSS_ItemN6,SpeechRate,spearman,two-sided,48,-0.5199620916811573,[-0.7  -0.28],0.00015203641293482097,0.0015203641293482096,fdr_bh,0.9738218355077025,0.0015203641293482096
PANSS_ItemG2,SpeechRate,spearman,two-sided,48,0.203490520444006,[-0.09  0.46],0.1653732612117719,0.33592248787760276,fdr_bh,0.28680915249946143,0.33592248787760276
PANSS_ItemG5,SpeechRate,spearman,two-sided,48,-0.2287894684156205,[-0.48  0.06],0.11778373145165383,0.33592248787760276,fdr_bh,0.3506792816760001,0.33592248787760276
PANSS_ItemG6,SpeechRate,spearman,two-sided,48,0.026081281822312223,[-0.26  0.31],0.860322885963674,0.9207574512712522,fdr_bh,0.05324919168760818,0.9207574512712522
PANSS_ItemG9,SpeechRate,spearman,two-sided,48,-0.01474659492906374,[-0.3   0.27],0.9207574512712522,0.9207574512712522,fdr_bh,0.05081412120448836,0.9207574512712522
PANSS_ItemP1,PropLevel,spearman,two-sided,48,-0.03177063559081277,[-0.31  0.25],0.8302621758320322,0.9580741384987668,fdr_bh,0.05498634838241581,0.9580741384987668
PANSS_ItemP2,PropLevel,spearman,two-sided,48,-0.10481448937650045,[-0.38  0.18],0.478330166447298,0.8008917104677892,fdr_bh,0.1094520200352524,0.8008917104677892
PANSS_ItemP3,PropLevel,spearman,two-sided,48,0.011374206429537799,[-0.27  0.29],0.9388399144542746,0.9580741384987668,fdr_bh,0.05035158692973821,0.9580741384987668
PANSS_ItemN1,PropLevel,spearman,two-sided,48,-0.12147233258182986,[-0.39  0.17],0.41081908082370766,0.8008917104677892,fdr_bh,0.13077906210123103,0.8008917104677892
PANSS_ItemN4,PropLevel,spearman,two-sided,48,-0.21644412124102372,[-0.47  0.07],0.13950950580159138,0.6975475290079569,fdr_bh,0.3187259408771884,0.6975475290079569
PANSS_ItemN6,PropLevel,spearman,two-sided,48,-0.2469885128443903,[-0.5   0.04],0.09056735871082587,0.6975475290079569,fdr_bh,0.40013289304427285,0.6975475290079569
PANSS_ItemG2,PropLevel,spearman,two-sided,48,0.09306285065498295,[-0.2   0.37],0.5292637379889347,0.8008917104677892,fdr_bh,0.09647629530969194,0.8008917104677892
PANSS_ItemG5,PropLevel,spearman,two-sided,48,-0.09248599473236499,[-0.37  0.2 ],0.5318307849329287,0.8008917104677892,fdr_bh,0.09588270677218354,0.8008917104677892
PANSS_ItemG6,PropLevel,spearman,two-sided,48,-0.007793212619929963,[-0.29  0.28],0.9580741384987668,0.9580741384987668,fdr_bh,0.04999140539342865,0.9580741384987668
PANSS_ItemG9,PropLevel,spearman,two-sided,48,0.0861056195561311,[-0.2   0.36],0.5606241973274524,0.8008917104677892,fdr_bh,0.08958456900528836,0.8008917104677892
PANSS_ItemP1,TrajInter,spearman,two-sided,48,-0.03546351577032371,[-0.32  0.25],0.8108752015836612,0.961147372604191,fdr_bh,0.05629962604203108,0.961147372604191
PANSS_ItemP2,TrajInter,spearman,two-sided,48,0.14232648756943575,[-0.15  0.41],0.3345454332928641,0.8363635832321603,fdr_bh,0.16243373910571646,0.8363635832321603
PANSS_ItemP3,TrajInter,spearman,two-sided,48,-0.035759232826697795,[-0.32  0.25],0.8093274160505171,0.961147372604191,fdr_bh,0.05641114086078952,0.961147372604191
PANSS_ItemN1,TrajInter,spearman,two-sided,48,-0.3826915476973316,[-0.6  -0.11],0.007263567867244312,0.03631783933622156,fdr_bh,0.7791584660278141,0.03631783933622156
PANSS_ItemN4,TrajInter,spearman,two-sided,48,-0.06948061055620577,[-0.35  0.22],0.638887617835379,0.961147372604191,fdr_bh,0.07543945755284884,0.961147372604191
PANSS_ItemN6,TrajInter,spearman,two-sided,48,-0.3894959108097744,[-0.61 -0.12],0.00621232176681692,0.03631783933622156,fdr_bh,0.7948826206878911,0.03631783933622156
PANSS_ItemG2,TrajInter,spearman,two-sided,48,0.24525073401080677,[-0.04  0.49],0.09293287296964343,0.3097762432321448,fdr_bh,0.3953046347617403,0.3097762432321448
PANSS_ItemG5,TrajInter,spearman,two-sided,48,0.02519346876913279,[-0.26  0.31],0.865032635343772,0.961147372604191,fdr_bh,0.05300927208382074,0.961147372604191
PANSS_ItemG6,TrajInter,spearman,two-sided,48,0.003307869889659111,[-0.28  0.29],0.9821978507189248,0.9821978507189248,fdr_bh,0.04973024102975335,0.9821978507189248
PANSS_ItemG9,TrajInter,spearman,two-sided,48,0.10199728159269086,[-0.19  0.38],0.49029923116289587,0.961147372604191,fdr_bh,0.10618700574185011,0.961147372604191
PANSS_ItemP1,TrajPhon,spearman,two-sided,48,-0.06509208379050274,[-0.34  0.22],0.6602627834969952,0.85857987572583,fdr_bh,0.07224121061403574,0.85857987572583
PANSS_ItemP2,TrajPhon,spearman,two-sided,48,0.13624774215041713,[-0.15  0.4 ],0.35580627887502525,0.7116125577500505,fdr_bh,0.15263285224989226,0.7116125577500505
PANSS_ItemP3,TrajPhon,spearman,two-sided,48,-0.030431209597505,[-0.31  0.26],0.8373193365822007,0.9087785126217126,fdr_bh,0.05454621566735867,0.9087785126217126
