Fold,K,val_precision,val_recall,val_f1,val_acc,test_precision,test_recall,test_f1,test_acc,ag_acc
1,173,0.6666666666666666,1.0,0.8,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333334,0.7777777777777778,1.5555555555555556
2,38,0.8,0.8,0.8,0.7777777777777778,0.8,0.8,0.8,0.7777777777777778,1.5555555555555556
3,5,0.8333333333333334,1.0,0.9090909090909091,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8888888888888888,1.7777777777777777
4,39,1.0,0.8,0.8888888888888888,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.8888888888888888,1.7777777777777777
5,16,1.0,0.8,0.8888888888888888,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8888888888888888,1.7777777777777777
6,163,1.0,0.8,0.8888888888888888,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.8888888888888888,1.7777777777777777
7,37,1.0,0.8,0.8888888888888888,0.8888888888888888,1.0,0.8,0.8888888888888888,0.8888888888888888,1.7777777777777777
8,83,0.8333333333333334,1.0,0.9090909090909091,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.8888888888888888,1.7777777777777777
9,9,0.8,0.8,0.8,0.7777777777777778,0.8,0.8,0.8,0.7777777777777778,1.5555555555555556
Avg,/,0.8814814814814815,0.8666666666666667,0.8637485970819303,0.8518518518518517,0.8682539682539683,0.8888888888888888,0.8696969696969696,0.8518518518518517,1.7037037037037035
